PERMNO,HdrCUSIP,Ticker,PERMCO,DlyCalDt,DlyPrc,DlyVol,DlyLow,DlyHigh,DlyOpen
10107,59491810,MSFT,8048,2020-06-19,195.150000,44398600,194.370000,199.290000,198.590000
10107,59491810,MSFT,8048,2020-06-22,200.570000,32772050,195.230100,200.760000,195.790000
10107,59491810,MSFT,8048,2020-06-23,201.910000,30891790,201.425000,203.950000,202.090000
10107,59491810,MSFT,8048,2020-06-24,197.840000,36679634,196.560000,203.250000,201.604000
10107,59491810,MSFT,8048,2020-06-25,200.340000,27751253,195.467500,200.610000,197.800000
10107,59491810,MSFT,8048,2020-06-26,196.330000,54605028,194.880000,199.890000,199.730000
10107,59491810,MSFT,8048,2020-06-29,198.440000,26640513,193.550000,198.530000,195.780000
10107,59491810,MSFT,8048,2020-06-30,203.510000,34267324,197.740000,204.400000,197.882000
10107,59491810,MSFT,8048,2020-07-01,204.700000,32003330,201.770000,206.350000,203.140000
10107,59491810,MSFT,8048,2020-07-02,206.260000,29275033,205.000000,208.020000,205.680000
10107,59491810,MSFT,8048,2020-07-06,210.700000,31866951,208.090000,211.130000,208.834000
10107,59491810,MSFT,8048,2020-07-07,208.250000,33535225,207.990000,214.670000,210.450000
10107,59491810,MSFT,8048,2020-07-08,212.830000,33554953,208.690000,213.260000,210.070000
10107,59491810,MSFT,8048,2020-07-09,214.320000,33079012,211.470000,216.380000,216.330000
10107,59491810,MSFT,8048,2020-07-10,213.670000,26125689,211.080000,214.080000,213.620000
10107,59491810,MSFT,8048,2020-07-13,207.070000,38076698,206.500000,215.800000,214.480000
10107,59491810,MSFT,8048,2020-07-14,208.350000,37473045,202.030000,208.850000,206.130000
10107,59491810,MSFT,8048,2020-07-15,208.040000,32136875,205.030000,211.330000,209.560000
10107,59491810,MSFT,8048,2020-07-16,203.920000,29887466,202.310000,205.700000,205.400000
10107,59491810,MSFT,8048,2020-07-17,202.880000,31533484,201.390000,205.040000,204.470000
10107,59491810,MSFT,8048,2020-07-20,211.600000,36810967,203.010000,212.300000,205.000000
10107,59491810,MSFT,8048,2020-07-21,208.750000,38007591,208.030000,213.940000,213.660000
10107,59491810,MSFT,8048,2020-07-22,211.750000,49549183,208.390000,212.300000,209.200000
10107,59491810,MSFT,8048,2020-07-23,202.540000,67308443,202.150000,210.920000,207.190000
10107,59491810,MSFT,8048,2020-07-24,201.300000,39757615,197.510000,202.860000,200.420000
10107,59491810,MSFT,8048,2020-07-27,203.850000,30118822,200.860000,203.970000,201.470000
10107,59491810,MSFT,8048,2020-07-28,202.020000,23223047,201.740000,204.700000,203.610000
10107,59491810,MSFT,8048,2020-07-29,204.060000,19599491,202.010000,204.650000,202.500000
10107,59491810,MSFT,8048,2020-07-30,203.900000,25050513,199.570000,204.460000,201.000000
10107,59491810,MSFT,8048,2020-07-31,205.010000,51131893,199.010000,205.100000,204.400000
10107,59491810,MSFT,8048,2020-08-03,216.540000,78836412,210.440000,217.640000,211.520000
10107,59491810,MSFT,8048,2020-08-04,213.290000,49224724,210.310000,214.770000,214.170000
10107,59491810,MSFT,8048,2020-08-05,212.940000,28798319,211.570000,215.000000,214.900000
10107,59491810,MSFT,8048,2020-08-06,216.350000,32606861,211.550000,216.370500,212.340000
10107,59491810,MSFT,8048,2020-08-07,212.480000,27794764,210.930000,215.700000,214.850000
10107,59491810,MSFT,8048,2020-08-10,208.250000,36641925,206.350000,211.880000,211.670000
10107,59491810,MSFT,8048,2020-08-11,203.380000,36306313,203.140000,207.650000,207.155000
10107,59491810,MSFT,8048,2020-08-12,209.190000,27984386,204.750000,210.280000,205.290000
10107,59491810,MSFT,8048,2020-08-13,208.700000,22551149,208.150000,211.350000,209.440000
10107,59491810,MSFT,8048,2020-08-14,208.900000,17940172,207.510000,209.590000,208.760000
10107,59491810,MSFT,8048,2020-08-17,210.280000,20159354,208.915000,211.187400,209.600000
10107,59491810,MSFT,8048,2020-08-18,211.490000,21304209,209.210000,212.360000,210.530000
10107,59491810,MSFT,8048,2020-08-19,209.700000,27579814,209.250000,212.100000,211.490000
10107,59491810,MSFT,8048,2020-08-20,214.580000,26961572,208.910000,215.000000,209.540000
10107,59491810,MSFT,8048,2020-08-21,213.020000,36198769,212.850000,216.250000,213.860000
10107,59491810,MSFT,8048,2020-08-24,213.690000,25418406,212.430000,215.520000,214.790000
10107,59491810,MSFT,8048,2020-08-25,216.470000,22997714,213.100000,216.610000,213.100000
10107,59491810,MSFT,8048,2020-08-26,221.150000,39532351,217.360000,222.090000,217.880000
10107,59491810,MSFT,8048,2020-08-27,226.580000,57370058,219.400000,231.150000,222.890000
10107,59491810,MSFT,8048,2020-08-28,228.910000,26240374,226.580000,230.644000,228.180000
10107,59491810,MSFT,8048,2020-08-31,225.530000,28710887,224.310000,228.700000,227.000000
10107,59491810,MSFT,8048,2020-09-01,227.270000,25729137,224.430000,227.450000,225.510000
10107,59491810,MSFT,8048,2020-09-02,231.650000,34009970,227.350000,232.860000,227.970000
10107,59491810,MSFT,8048,2020-09-03,217.300000,58217130,214.960200,229.310000,229.270000
10107,59491810,MSFT,8048,2020-09-04,214.250000,59426793,205.190000,218.359900,215.100000
10107,59491810,MSFT,8048,2020-09-08,202.660000,52667527,202.200000,210.030000,206.500000
10107,59491810,MSFT,8048,2020-09-09,211.290000,45547702,206.700000,214.839900,207.600000
10107,59491810,MSFT,8048,2020-09-10,205.370000,35386842,204.110000,214.740000,213.400000
10107,59491810,MSFT,8048,2020-09-11,204.030000,33753495,201.240000,208.630000,207.200000
10107,59491810,MSFT,8048,2020-09-14,205.410000,30285989,204.030000,209.200000,204.240000
10107,59491810,MSFT,8048,2020-09-15,208.780000,21794854,206.930000,209.780000,208.420000
10107,59491810,MSFT,8048,2020-09-16,205.050000,26294673,204.640000,210.650000,210.620000
10107,59491810,MSFT,8048,2020-09-17,202.910000,33971855,199.960000,204.330000,200.050000
10107,59491810,MSFT,8048,2020-09-18,200.390000,55174475,196.250000,203.650000,202.800000
10107,59491810,MSFT,8048,2020-09-21,202.540000,39788402,196.380000,202.710000,197.190000
10107,59491810,MSFT,8048,2020-09-22,207.420000,34131467,202.075000,208.100000,205.060000
10107,59491810,MSFT,8048,2020-09-23,200.590000,30748732,200.030000,208.100000,207.900000
10107,59491810,MSFT,8048,2020-09-24,203.190000,31134984,199.200000,205.570000,199.850000
10107,59491810,MSFT,8048,2020-09-25,207.820000,29398598,202.540000,209.040000,203.550000
10107,59491810,MSFT,8048,2020-09-28,209.440000,31947534,208.060000,212.570000,210.880000
